BGRI2021,N_INDIVIDUOS,supply_departures,dep_per_1000_pop,pop_per_departure,underservice_score
06033700109,41.0,0.0,0.0,inf,41.0
06033700122,41.0,0.0,0.0,inf,41.0
06033700202,40.0,0.0,0.0,inf,40.0
06033200307,40.0,0.0,0.0,inf,40.0
06030100313,39.0,0.0,0.0,inf,39.0
06033700210,39.0,0.0,0.0,inf,39.0
06032400201,39.0,0.0,0.0,inf,39.0
06030100130,38.0,0.0,0.0,inf,38.0
06031100306,38.0,0.0,0.0,inf,38.0
06032400115,38.0,0.0,0.0,inf,38.0
06032000206,38.0,0.0,0.0,inf,38.0
06031100323,37.0,0.0,0.0,inf,37.0
06031100335,37.0,0.0,0.0,inf,37.0
06033200104,37.0,0.0,0.0,inf,37.0
06033200212,37.0,0.0,0.0,inf,37.0
06031200103,37.0,0.0,0.0,inf,37.0
06031100328,36.0,0.0,0.0,inf,36.0
06031100329,36.0,0.0,0.0,inf,36.0
06032000210,36.0,0.0,0.0,inf,36.0
06033700221,36.0,0.0,0.0,inf,36.0
06033700228,36.0,0.0,0.0,inf,36.0
06033700233,36.0,0.0,0.0,inf,36.0
06033200304,36.0,0.0,0.0,inf,36.0
06033300413,35.0,0.0,0.0,inf,35.0
06031100208,35.0,0.0,0.0,inf,35.0
06032400217,35.0,0.0,0.0,inf,35.0
06030100101,35.0,0.0,0.0,inf,35.0
06031100313,35.0,0.0,0.0,inf,35.0
06033200220,34.0,0.0,0.0,inf,34.0
06033900307,34.0,0.0,0.0,inf,34.0
06032000203,34.0,0.0,0.0,inf,34.0
06034100201,34.0,0.0,0.0,inf,34.0
06030900109,34.0,0.0,0.0,inf,34.0
06033300412,33.0,0.0,0.0,inf,33.0
06030100319,33.0,0.0,0.0,inf,33.0
06031100315,33.0,0.0,0.0,inf,33.0
06033200301,33.0,0.0,0.0,inf,33.0
06033700220,33.0,0.0,0.0,inf,33.0
06033200206,33.0,0.0,0.0,inf,33.0
06032400106,32.0,0.0,0.0,inf,32.0
06032400107,32.0,0.0,0.0,inf,32.0
06031100307,32.0,0.0,0.0,inf,32.0
06033700108,32.0,0.0,0.0,inf,32.0
06034000216,31.0,0.0,0.0,inf,31.0
06031100121,31.0,0.0,0.0,inf,31.0
06033900114,31.0,0.0,0.0,inf,31.0
06032400214,30.0,0.0,0.0,inf,30.0
06033700218,30.0,0.0,0.0,inf,30.0
06033900304,30.0,0.0,0.0,inf,30.0
06033700238,30.0,0.0,0.0,inf,30.0
06033200308,30.0,0.0,0.0,inf,30.0
06033700103,29.0,0.0,0.0,inf,29.0
06033200226,29.0,0.0,0.0,inf,29.0
06033200101,29.0,0.0,0.0,inf,29.0
06033200222,29.0,0.0,0.0,inf,29.0
06033200219,28.0,0.0,0.0,inf,28.0
06033700205,28.0,0.0,0.0,inf,28.0
06033200207,28.0,0.0,0.0,inf,28.0
06033700225,28.0,0.0,0.0,inf,28.0
06031200215,27.0,0.0,0.0,inf,27.0
06032000101,27.0,0.0,0.0,inf,27.0
06033200315,27.0,0.0,0.0,inf,27.0
06032000205,27.0,0.0,0.0,inf,27.0
06033200218,27.0,0.0,0.0,inf,27.0
06031100310,26.0,0.0,0.0,inf,26.0
06031100304,26.0,0.0,0.0,inf,26.0
06031100305,26.0,0.0,0.0,inf,26.0
06031100113,26.0,0.0,0.0,inf,26.0
06030100309,26.0,0.0,0.0,inf,26.0
06032400114,26.0,0.0,0.0,inf,26.0
06030900104,26.0,0.0,0.0,inf,26.0
06030900128,26.0,0.0,0.0,inf,26.0
06033900302,26.0,0.0,0.0,inf,26.0
06031100311,25.0,0.0,0.0,inf,25.0
06031100322,25.0,0.0,0.0,inf,25.0
06033900244,25.0,0.0,0.0,inf,25.0
06033200211,25.0,0.0,0.0,inf,25.0
06033501707,25.0,0.0,0.0,inf,25.0
06032400225,25.0,0.0,0.0,inf,25.0
06031100303,24.0,0.0,0.0,inf,24.0
06033800705,24.0,0.0,0.0,inf,24.0
06033200306,24.0,0.0,0.0,inf,24.0
06033700230,24.0,0.0,0.0,inf,24.0
06030100302,23.0,0.0,0.0,inf,23.0
06031100327,23.0,0.0,0.0,inf,23.0
06031100338,23.0,0.0,0.0,inf,23.0
06033200213,23.0,0.0,0.0,inf,23.0
06030900116,23.0,0.0,0.0,inf,23.0
06030100127,22.0,0.0,0.0,inf,22.0
06033700102,22.0,0.0,0.0,inf,22.0
